tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0422522,movie,Je prends la chose... du bon côté!,Je prends la chose... du bon côté!,1,1973,,100,Adult,5.5,12
tt0423994,movie,Coisas Eróticas,Coisas Eróticas,1,1981,,83,"Adult,Adventure",4.3,41
tt0423995,movie,Coisas Eróticas II,Coisas Eróticas II,1,1984,,80,Adult,5.0,11
tt0424074,movie,Exhibition 79,Exhibition 79,1,1979,,90,Documentary,5.8,35
tt0424080,movie,A Famosa Língua de Ouro,A Famosa Língua de Ouro,1,1988,,70,Adult,5.0,18
tt0424113,movie,Gemidos E Sussurros,Gemidos E Sussurros,1,1987,,120,Adult,3.4,15
tt0425268,movie,"Montre ton corps, baise-moi","Montre ton corps, baise-moi",1,2004,,50,"Adult,Documentary",7.6,16
tt0429709,movie,Brother Load,Brother Load,1,1983,,82,Adult,7.4,24
tt0430108,movie,Frat House Memories,Frat House Memories,1,1984,,70,Adult,6.9,18
tt0430803,movie,The Sex Instructor,L'éducatrice,1,1981,,75,"Adult,Adventure,Crime",5.4,39
tt0432201,movie,What the Big Boys Eat,What the Big Boys Eat,1,1985,,,Adult,8.6,8
tt0432582,movie,Queer FT: Queer Factory Tales,Queerft: Queer Factory Tales,1,2004,,69,Fantasy,7.6,26
tt0432910,movie,The Hidden Vices of Eva Blue,Les jours et les nuits d'Eva Blue,1,1979,,79,"Adult,Drama",6.0,50
tt0434792,movie,Les besoins de la chair,Les besoins de la chair,1,1984,,75,Adult,4.8,20
tt0435297,tvMovie,Private Sex Club,Private Sex Club,1,2003,,94,Drama,5.5,39
tt0437440,movie,Millionaire,Millionaire,1,2004,,100,"Adult,Adventure,Mystery",7.4,56
tt0437441,movie,Millionaire 2,Millionaire 2,1,2004,,110,"Adult,Adventure,Mystery",6.9,26
tt0438784,movie,Kiss of the Piranha Woman,O Beijo da Mulher Piranha,1,1986,,85,Adult,4.6,32
tt0438837,movie,Entra E Sai,Entra E Sai,1,1986,,,Adult,5.0,8
tt0438856,movie,Fuk Fuk Brazilian Style,Fuk Fuk à Brasileira,1,1986,,80,"Adult,Comedy",6.0,48
tt0438861,movie,Gôzo Alucinante,Gôzo Alucinante,1,1985,,80,Adult,5.2,25
tt0438957,movie,Quatro Noivas Para Sete Orgasmos,Quatro Noivas Para Sete Orgasmos,1,1985,,80,Adult,4.8,13
tt0441088,movie,Aberrações Sexuais de Um Cachorro,Aberrações Sexuais de Um Cachorro,1,1986,,90,Adult,6.6,7
tt0441107,movie,Animais do Sexo,Animais do Sexo,1,1984,,90,"Adult,Crime",5.1,9
tt0441257,movie,Aguenta Tesão (Quanto Mais Sexo Melhor),Aguenta Tesão (Quanto Mais Sexo Melhor),1,1986,,74,Adult,3.8,37
tt0441268,movie,Flashback,Flashbacks,1,1981,,72,Adult,7.7,12
tt0441269,movie,Fogo E Prazer,Fogo E Prazer,1,1987,,75,Adult,4.1,9
tt0441374,movie,"Meu Cachorro, Meu Amante","Meu Cachorro, Meu Amante",1,1986,,90,Adult,5.8,8
tt0441978,movie,Amante Profissional,Amante Profissional,1,1985,,90,Adult,4.5,7
tt0442201,movie,Em Busca do Orgasmo,Em Busca do Orgasmo,1,1981,,80,"Adult,Drama",5.5,14
tt0442262,movie,Hospital da Corrupção E dos Prazeres,Hospital da Corrupção E dos Prazeres,1,1985,,83,Adult,4.8,27
tt0442401,movie,"Patrícia, Só Sacanagem","Patrícia, Só Sacanagem",1,1986,,,Adult,6.2,6
tt0442475,movie,Sexo Proibido,Sexo Proibido,1,1984,,78,Adult,3.6,9
tt0442985,movie,Experiências Sexuais de Um Cavalo,Experiências Sexuais de Um Cavalo,1,1985,,80,Adult,7.6,19
tt0443953,movie,Colegiais em Sexo Coletivo,Colegiais em Sexo Coletivo,1,1985,,80,Adult,3.7,31
tt0444235,movie,Loucas Por Cavalos,Loucas Por Cavalos,1,1986,,95,Adult,7.3,7
tt0444268,movie,"Meu Marido, Meu Cavalo","Meu Marido, Meu Cavalo",1,1986,,80,Adult,4.9,17
tt0444336,movie,Penetrações Profundas,Penetrações Profundas,1,1984,,80,Adult,5.9,9
tt0444337,movie,Perdida em Sodoma,Perdida em Sodoma,1,1982,,90,"Adult,Drama",5.0,22
tt0444346,movie,Flesh for Sale,La piel vendida,1,2004,,83,"Adult,Documentary",5.6,22
tt0444420,movie,Sexo a Cavalo,Sexo a Cavalo,1,1985,,75,Adult,7.8,6
tt0444421,movie,Sexo com Chantilly,Sexo com Chantilly,1,1985,,76,Adult,6.3,6
tt0444482,movie,Taras de Colegiais,Taras de Colegiais,1,1984,,75,"Adult,Drama",4.7,22
tt0444691,movie,Sexual Boundaries,Sexual Boundaries,1,2002,,90,"Drama,Thriller",5.3,81
tt0445157,movie,101 Acts of Love,101 Acts of Love,1,1971,,46,Adult,4.8,53
