Title,Year,Genres,Rating,Votes
Kurutta ichipêji,1926.0,"Drama,Horror,Thriller",7.3,4887
Kyôren no onna shishô,1926.0,"Drama,Horror,Romance",6.4,31
The Magician,1926.0,"Drama,Fantasy,Horror",6.8,914
Medvezhya svadba,1925.0,"Drama,Horror",6.2,76
Midnight Faces,1926.0,"Horror,Thriller",5.2,158
Der Student von Prag,1926.0,"Drama,Horror",6.9,820
Alraune,1928.0,"Drama,Fantasy,Horror",6.2,466
The Cat and the Canary,1927.0,"Comedy,Horror,Mystery",7.0,3574
The Gorilla,1927.0,"Horror,Thriller",6.6,59
London After Midnight,1927.0,"Horror,Mystery,Thriller",6.7,1521
The Unknown,1927.0,"Drama,Horror,Romance",7.7,9737
The Wizard,1927.0,"Horror,Mystery,Sci-Fi",7.1,126
The Ape,1928.0,"Horror,Mystery",3.9,53
Cagliostro - Liebe und Leben eines großen Abenteurers,1929.0,"Horror,Thriller",6.5,149
La chute de la maison Usher,1928.0,"Drama,Fantasy,Horror",7.2,4741
The Man Who Laughs,1928.0,"Drama,Horror,Mystery",7.6,8597
Something Always Happens,1928.0,"Comedy,Horror",5.0,15
The Terror,1928.0,"Horror,Mystery,Thriller",6.8,76
West of Zanzibar,1928.0,"Drama,Horror,Mystery",7.2,2043
Der Hund von Baskerville,1929.0,"Crime,Horror,Mystery",6.4,343
The Last Performance,1929.0,"Drama,Horror,Romance",6.6,514
The Last Warning,1928.0,"Horror,Mystery,Thriller",6.8,881
Somnambul,1929.0,Horror,4.6,23
The Unholy Night,1929.0,"Horror,Mystery,Thriller",5.6,432
Der Andere,1930.0,"Crime,Drama,Horror",5.1,48
The Bat Whispers,1930.0,"Crime,Drama,Horror",6.3,1309
The Cat Creeps,1930.0,"Horror,Mystery",7.1,107
Midnight Mystery,1930.0,"Crime,Horror,Mystery",6.3,146
The Bells,1931.0,"Crime,Drama,Horror",5.9,33
Dracula,1931.0,"Drama,Fantasy,Horror",7.4,61722
Drácula,1931.0,"Drama,Fantasy,Horror",7.0,5370
The Drums of Jeopardy,1931.0,"Crime,Drama,Horror",5.5,370
East of Borneo,1931.0,"Adventure,Horror,Romance",5.5,272
Frankenstein,1931.0,"Drama,Horror,Sci-Fi",7.8,83012
The Ghost Train,1931.0,"Comedy,Horror,Thriller",6.0,83
The Gorilla,1930.0,"Comedy,Horror,Mystery",5.8,59
The Hound of the Baskervilles,1931.0,"Crime,Horror,Mystery",6.1,66
King of the Wild,1931.0,"Action,Adventure,Horror",5.4,146
The Mad Genius,1931.0,"Drama,Horror,Romance",6.3,823
Murder by the Clock,1931.0,"Crime,Horror,Mystery",6.0,409
The Phantom,1931.0,"Horror,Thriller",4.3,460
Svengali,1931.0,"Drama,Horror,Romance",6.8,2664
Behind the Mask,1932.0,"Crime,Horror,Mystery",5.9,438
Condemned to Death,1932.0,"Crime,Drama,Horror",5.6,26
Doctor X,1932.0,"Comedy,Crime,Horror",6.4,4486
Dr. Jekyll and Mr. Hyde,1931.0,"Horror,Sci-Fi",7.6,16580
Freaks,1932.0,"Drama,Horror",7.8,52447
Geheimnis des blauen Zimmers,1932.0,Horror,6.9,32
Kongo,1932.0,"Drama,Horror",6.5,1197
The Mask of Fu Manchu,1932.0,"Adventure,Horror,Sci-Fi",6.2,3935
The Monkey's Paw,1933.0,Horror,6.7,126
The Monster Walks,1932.0,"Horror,Mystery",4.1,1136
The Most Dangerous Game,1932.0,"Action,Adventure,Horror",7.1,14576
The Mummy,1932.0,"Fantasy,Horror",7.0,31624
Murder at Dawn,1932.0,"Crime,Drama,Horror",4.3,188
Murders in the Rue Morgue,1932.0,"Crime,Horror,Mystery",6.3,5652
Thark,1932.0,"Comedy,Horror",6.2,21
