Title,Year,Genres,Rating,Votes
The Woman God Forgot,1917.0,"History,Romance",6.1,125
Amarilly of Clothes-Line Alley,1918.0,"Comedy,Romance",6.2,828
Arizona,1918.0,"Comedy,Drama,Romance",5.4,28
"Believe Me, Xantippe",1918.0,"Comedy,Romance,Western",5.0,15
The Beloved Blackmailer,1918.0,"Comedy,Romance",6.8,62
Blackie's Redemption,1919.0,"Crime,Drama,Romance",6.4,15
Bound in Morocco,1918.0,"Action,Comedy,Romance",6.0,26
Branding Broadway,1918.0,"Comedy,Romance,Western",6.7,33
Bread,1918.0,"Drama,Romance",6.0,58
Broadway Love,1918.0,Romance,5.8,196
Carmen of the Klondike,1918.0,"Adventure,Drama,Romance",5.4,20
Casanova,1919.0,"Drama,Romance",7.1,32
The Dream Lady,1918.0,"Comedy,Romance",6.4,151
Eye for Eye,1918.0,"Drama,Romance",5.0,20
"A Fight for Millions: Episode No. 1, The Snare",1918.0,"Action,Drama,Romance",6.7,24
The Forbidden City,1918.0,"Drama,Romance",5.4,336
The Grain of Dust,1918.0,"Drama,Romance",3.3,18
The Great Romance,1919.0,"Adventure,Romance",2.6,24
The Greatest Thing in Life,1918.0,"Drama,Romance,War",7.1,87
He Comes Up Smiling,1918.0,"Adventure,Comedy,Romance",6.1,67
The Heart of Humanity,1918.0,"Drama,Romance,War",5.9,115
Hindle Wakes,1918.0,Romance,7.0,11
Johanna Enlists,1918.0,"Comedy,Romance",5.9,676
The Landloper,1918.0,"Adventure,Romance",6.9,21
Little Miss Hoover,1918.0,"Comedy,Romance",5.7,38
Little Women,1918.0,"Drama,Family,Romance",6.5,61
The Lure of the Circus,1918.0,"Action,Adventure,Romance",5.5,41
Mr. Fix-It,1918.0,"Comedy,Romance",6.8,124
Nattliga toner,1918.0,"Drama,Romance",6.2,48
Nelson,1918.0,"Biography,Drama,Romance",6.8,23
On the Quiet,1918.0,"Comedy,Romance",8.5,35
A Pair of Silk Stockings,1918.0,"Comedy,Romance",5.3,532
Prunella,1918.0,Romance,6.1,25
Queen of the Sea,1918.0,"Adventure,Fantasy,Romance",6.7,24
Revelation,1918.0,"Drama,Romance",7.7,19
Revolutionens datter,1918.0,"Comedy,Drama,Romance",5.4,38
"Rich Man, Poor Man",1918.0,"Drama,Romance",6.2,22
A Romance of Happy Valley,1919.0,"Drama,Romance",6.2,501
A Romance of the Air,1918.0,"Adventure,Romance",6.4,20
Rose Bernd,1919.0,"Drama,Romance",6.5,13
Shark Monroe,1918.0,"Adventure,Drama,Romance",5.9,23
The She Devil,1918.0,"Drama,Romance",7.5,20
Six-Shooter Andy,1918.0,"Action,Adventure,Romance",5.8,14
The Soul of Buddha,1918.0,Romance,7.2,22
Till I Come Back to You,1918.0,"Drama,Romance,War",5.5,29
The Venus Model,1918.0,"Comedy,Romance",7.4,15
Woman and Wife,1918.0,"Drama,Romance",6.8,16
A 111-es,1920.0,"Drama,Romance,Thriller",4.2,19
Atonement,1919.0,"Drama,Romance",8.4,14
Ravished Armenia,1919.0,"Drama,History,Romance",5.4,1262
Back to God's Country,1919.0,"Adventure,Romance,Western",6.2,992
La belle Russe,1919.0,"Drama,Romance",5.4,17
Blind Husbands,1919.0,"Drama,Romance",6.9,1741
Broken Blossoms or The Yellow Man and the Girl,1919.0,"Drama,Romance",7.2,11388
Een Carmen van het Noorden,1919.0,"Drama,Romance",6.4,34
Fair and Warmer,1919.0,"Comedy,Romance",8.4,14
Flame of the Desert,1919.0,"Drama,Romance",6.4,14
Hawthorne of the U.S.A.,1919.0,"Adventure,Comedy,Romance",5.3,407
Heart o' the Hills,1919.0,"Drama,Romance",6.3,580
The Heart of Wetona,1919.0,"Drama,Romance,Western",5.3,37
Der Herr der Liebe,1919.0,"Romance,Thriller",5.7,73
His Bridal Night,1919.0,"Comedy,Romance",7.6,15
"His Majesty, the American",1919.0,"Adventure,Comedy,Romance",6.1,118
Human Desire,1919.0,"Drama,Romance",5.3,26
Ich möchte kein Mann sein,1918.0,"Comedy,Romance",6.8,1724
Kathleen Mavourneen,1919.0,"Drama,Romance",5.8,26
The Knickerbocker Buckaroo,1919.0,"Comedy,Romance,Western",6.7,27
Lightning Bryce,1919.0,"Adventure,Horror,Romance",5.6,77
The Lottery Man,1919.0,"Comedy,Romance",5.2,15
The Love Burglar,1919.0,"Crime,Drama,Romance",3.9,17
A Man's Fight,1919.0,"Adventure,Drama,Romance",1.9,27
Marion de Lorme,1918.0,"Drama,Romance",5.2,13
My Husband's Other Wife,1920.0,"Drama,Romance",5.3,17
The Phantom Honeymoon,1919.0,"Drama,Horror,Romance",6.1,33
Die Reise um die Erde in 80 Tagen,1919.0,"Adventure,Drama,Romance",6.6,18
A Rosa do Adro,1919.0,"Drama,Romance",6.6,42
Scarlet Days,1919.0,"Adventure,Romance,Western",5.3,486
The Sentimental Bloke,1919.0,"Drama,Romance",6.2,312
The Siren's Song,1919.0,"Drama,Romance",4.8,18
Snow in the Desert,1919.0,"Drama,Romance",5.6,9
Sången om den eldröda blomman,1919.0,"Drama,Romance",6.8,299
A Temperamental Wife,1919.0,"Comedy,Romance",7.0,23
