Title,Year,Genres,Rating,Votes
Straza na Drini,1942.0,Documentary,7.1,46
Twenty-One Miles,1942.0,Documentary,4.8,23
We Are the Marines,1942.0,Documentary,6.0,13
Action Stations,1943.0,Documentary,5.2,24
Bitva za nashu Sovetskuyu Ukrainu,1943.0,"Documentary,War",6.9,175
Combat America,1943.0,"Documentary,War",6.0,157
December 7th,1943.0,"Action,Documentary,Drama",6.1,1035
Desert Victory,1943.0,"Documentary,War",6.4,396
"How to Fly the B-17 (Part 1, Ground Operations)",1943.0,Documentary,7.2,13
"How to Fly the B-17 (Part 2, Flight Operations)",1943.0,Documentary,7.1,18
"How to Fly the B-17 (Part 3, Emergency Operations)",1943.0,Documentary,5.6,10
The Memphis Belle: A Story of a Flying Fortress,1944.0,"Documentary,History,War",7.4,1959
Report from the Aleutians,1943.0,"Documentary,History,War",6.4,816
Some of the Best,1944.0,Documentary,6.4,117
Stalingrad,1943.0,"Documentary,War",7.5,93
Victory Through Air Power,1943.0,"Animation,Documentary,History",6.4,1278
War Department Report,1943.0,Documentary,6.1,46
Der 30. Januar 1945,1965.0,Documentary,5.9,16
The Battle of Russia,1943.0,"Documentary,History,War",7.1,1674
The Fighting Lady,1944.0,"Documentary,History,War",7.2,659
Tunisian Victory,1944.0,"Documentary,War",6.6,730
Berlin,1945.0,"Documentary,History,War",7.2,166
Burma Victory,1946.0,"Documentary,War",6.8,33
Gaslight Follies,1945.0,Documentary,4.7,44
Giorni di gloria,1945.0,Documentary,6.6,204
Here Is Germany,1945.0,"Documentary,War",6.4,165
Kong Håkon VIIs regjeringsjubileum 1945,1945.0,"Documentary,History",6.6,8
Pobeda na Pravoberezhnoy Ukraine i izgnanie nemetsikh zakhvatchikov za predely ukrainskikh sovietskikh zemel,1945.0,"Documentary,War",7.0,110
Yerkir hayreni,1945.0,Documentary,7.2,34
Topaz,1945.0,"Documentary,History",6.3,97
The True Glory,1945.0,"Documentary,War",7.0,658
Children on Trial,1946.0,"Documentary,Drama",6.5,16
Danmark i Lænker,1945.0,Documentary,6.0,12
Det gælder din frihed,1946.0,"Documentary,War",6.4,36
Jivin' in Be-Bop,1946.0,"Documentary,Music",7.0,65
Let There Be Light,1980.0,"Documentary,War",7.4,2078
Adamah,1947.0,"Documentary,Drama",7.3,36
Pierwsze lata,1947.0,Documentary,6.0,8
The World Is Rich,1947.0,Documentary,6.8,22
Design for Death,1947.0,Documentary,5.8,52
Mining Review,1948.0,Documentary,7.2,7
Nederlands in zeven lessen,1948.0,"Comedy,Documentary",7.1,102
Paris mil neuf cent,1947.0,Documentary,7.1,187
The Quiet One,1948.0,"Documentary,Drama",6.5,319
The Secret Land,1948.0,Documentary,6.7,449
Urubu,1948.0,"Adventure,Documentary,Thriller",5.4,17
Daybreak in Udi,1949.0,Documentary,5.1,96
Passione secondo S. Matteo,1949.0,"Documentary,Music",8.8,23
Rubens,1948.0,"Biography,Documentary",6.7,26
Tale of the Navajos,1949.0,Documentary,5.5,57
Symphonie einer Weltstadt,1950.0,Documentary,6.2,28
Cassino to Korea,1950.0,"Documentary,War",7.0,14
Herrliche Zeiten,1950.0,Documentary,5.5,30
Kon-Tiki,1950.0,Documentary,7.9,2879
Vladimir Ilich Lenin,1949.0,"Biography,Documentary",7.8,43
Mau-Mau,1955.0,"Documentary,Drama",4.7,30
Memorias de un mexicano,1950.0,Documentary,8.1,68
Osvobozhdyonnyy Kitay,1951.0,Documentary,6.6,25
The Titan: Story of Michelangelo,1950.0,Documentary,6.5,139
With These Hands,1950.0,"Documentary,Drama",5.4,85
Of Men and Music,1951.0,"Documentary,Music",7.9,14
The Sea Around Us,1953.0,Documentary,6.1,411
This Is Korea!,1951.0,"Documentary,War",6.3,215
Avec André Gide,1951.0,Documentary,7.3,26
Champagne Safari,1954.0,Documentary,6.7,95
Duende y misterio del flamenco,1952.0,Documentary,7.4,91
Freundschaft siegt,1951.0,Documentary,6.0,18
Kontsert masterov iskusstv,1952.0,"Documentary,Music",6.9,10
Kontsert masterov ukrainskogo iskusstva,1952.0,"Documentary,Music",4.0,9
Magia verde,1953.0,Documentary,7.4,10
Olympia 52,1952.0,Documentary,6.9,39
Pictura,1951.0,Documentary,5.5,40
This Is Cinerama,1952.0,Documentary,6.9,572
Arena smelykh,1953.0,Documentary,4.8,10
Cease Fire!,1953.0,"Documentary,War",6.0,159
The Conquest of Everest,1953.0,"Adventure,Documentary",7.3,992
Vo l'dakh okeana,1953.0,Documentary,6.8,9
The Living Desert,1953.0,"Documentary,Family",7.4,1801
Mastera russkogo baleta,1954.0,"Documentary,Music",7.3,38
A Queen Is Crowned,1953.0,"Documentary,History",6.8,187
Sesto continente,1954.0,"Adventure,Documentary,Fantasy",6.3,13
Povest o neftyanikah Kaspia,1954.0,Documentary,5.6,9
Continente perduto,1955.0,Documentary,4.9,25
India favolosa,1954.0,Documentary,7.1,56
Italia K2,1955.0,Documentary,7.5,21
Das Lied der Ströme,1954.0,Documentary,6.9,41
The Vanishing Prairie,1954.0,"Documentary,Family",7.1,849
The African Lion,1955.0,"Documentary,Family",7.2,623
El charro inmortal,1955.0,"Biography,Documentary",7.0,16
Cinerama Holiday,1955.0,Documentary,7.3,151
Crèvecoeur,1955.0,Documentary,6.1,28
The Unconquered,1954.0,"Biography,Documentary",7.1,166
Hunters of the Deep,1954.0,Documentary,5.9,15
L'impero del sole,1956.0,"Documentary,Musical",5.9,20
The Animal World,1956.0,"Animation,Documentary,History",6.6,143
Cannibal Island,1956.0,Documentary,6.1,35
"Come Back, Africa",1959.0,"Documentary,Drama",7.1,375
Hvor bjergene sejler,1955.0,"Documentary,Family",7.0,27
Kein Platz für wilde Tiere,1956.0,Documentary,7.1,105
Le monde du silence,1956.0,"Adventure,Documentary",6.9,1901
