Title,Year,Genres,Rating,Votes
Crooked Streets,1920.0,"Crime,Drama",7.0,21
The Deep Purple,1920.0,"Crime,Drama",4.0,18
A Double-Dyed Deceiver,1920.0,"Crime,Drama,Western",5.6,16
The Empire of Diamonds,1920.0,"Crime,Drama",5.8,16
The False Road,1920.0,"Crime,Drama",6.0,40
Fante-Anne,1920.0,"Crime,Drama,Romance",6.2,182
From Now On,1920.0,"Action,Crime,Drama",4.8,18
The Great London Mystery,1920.0,"Crime,Horror,Mystery",5.1,20
The Hawk's Trail,1919.0,Crime,4.3,21
His Brother's Keeper,1921.0,"Crime,Horror",4.4,17
The Hound of the Baskervilles,1921.0,"Crime,Horror,Mystery",4.1,55
Kaksen på Øverland,1920.0,"Crime,Drama,Fantasy",6.2,11
Love Without Question,1920.0,"Crime,Horror,Mystery",4.0,20
A Manhattan Knight,1920.0,"Action,Adventure,Crime",6.0,22
Over the Hill to the Poorhouse,1920.0,"Crime,Drama",4.8,30
The Penalty,1920.0,"Crime,Drama,Horror",7.3,2740
The Price of Redemption,1920.0,"Adventure,Crime,Drama",5.4,19
Præsten i Vejlby,1922.0,"Crime,Drama",6.6,9
Riders of the Dawn,1920.0,"Crime,Drama,Western",5.7,15
Sand,1920.0,"Crime,Western",7.0,81
The Village Sleuth,1920.0,"Comedy,Crime,Drama",6.4,20
Weltbrand,1920.0,"Crime,Drama",6.7,19
While New York Sleeps,1920.0,"Crime,Drama",6.9,31
The White Dove,1920.0,"Crime,Drama",5.4,21
The Wonderful Chance,1920.0,"Crime,Drama",5.6,66
The Ace of Hearts,1921.0,"Crime,Drama,Mystery",6.8,1395
Corinthian Jack,1921.0,"Adventure,Crime",5.2,15
A Daughter of the Law,1921.0,"Crime,Drama",5.7,35
Hurricane Hutch,1921.0,"Action,Adventure,Crime",6.7,27
Outside the Law,1920.0,"Crime,Romance,Thriller",6.5,791
The Princess of New York,1921.0,"Crime,Drama",6.4,41
Schloß Vogelöd,1921.0,"Crime,Drama,Horror",6.1,2159
Sure Fire,1921.0,"Crime,Western",4.3,67
Tangled Trails,1921.0,"Action,Adventure,Crime",4.7,60
Voices of the City,1921.0,"Crime,Drama",7.1,44
Boomerang Bill,1922.0,"Action,Adventure,Crime",2.0,25
"Dr. Mabuse, der Spieler",1922.0,"Crime,Mystery,Thriller",7.8,9492
The Face in the Fog,1922.0,"Crime,Mystery",5.9,19
Fair Lady,1922.0,"Adventure,Crime,Drama",4.9,25
Farende folk,1922.0,"Crime,Drama",5.9,13
Hate,1922.0,"Crime,Drama",7.8,11
The Kentucky Derby,1922.0,"Action,Adventure,Crime",5.5,39
Kärlekens ögon,1922.0,"Crime,Romance",6.2,76
The Light in the Dark,1922.0,"Crime,Drama,Romance",6.1,188
Love's Boomerang,1922.0,"Crime,Drama",6.1,43
Missing Millions,1922.0,"Crime,Drama,Romance",5.2,15
Only a Shop Girl,1922.0,"Crime,Drama,Romance",5.8,15
The Pointing Finger,1922.0,"Adventure,Crime,Thriller",5.2,11
Sherlock Brown,1922.0,"Comedy,Crime,Drama",3.1,36
Skin Deep,1922.0,"Crime,Drama",7.3,14
Trapped by the Mormons,1922.0,"Crime,Drama",5.6,180
Wild Honey,1922.0,"Adventure,Crime,Drama",2.7,22
Big Brother,1923.0,"Crime,Drama",4.2,16
Boston Blackie,1923.0,"Crime,Drama",7.0,23
Bulldog Drummond,1922.0,"Action,Adventure,Crime",7.2,40
Crooked Alley,1923.0,"Crime,Drama",6.6,12
The Eternal Struggle,1923.0,"Crime,Drama,Western",6.7,14
The First Degree,1923.0,"Crime,Drama",6.8,100
Haldane of the Secret Service,1923.0,"Adventure,Crime,Drama",5.2,173
Human Wreckage,1923.0,"Crime,Drama,Thriller",6.9,25
It Happened Out West,1923.0,"Action,Adventure,Crime",6.7,21
Itching Palms,1923.0,"Comedy,Crime",6.6,17
The Last Hour,1923.0,Crime,6.9,21
Lights Out,1923.0,"Crime,Drama",6.0,15
The Love Letter,1923.0,"Crime,Drama",7.0,23
Mist in the Valley,1923.0,"Crime,Drama",7.9,43
Quicksands,1923.0,"Crime,Drama",5.4,21
The Sign of Four,1923.0,"Crime,Drama,Mystery",6.2,92
The Social Buccaneer,1923.0,"Adventure,Crime,Romance",6.4,19
Trimmed in Scarlet,1923.0,"Adventure,Crime,Drama",7.2,17
After Dark,1924.0,"Action,Adventure,Crime",6.6,22
The Arizona Express,1924.0,"Crime,Drama",6.8,51
The Beautiful Sinner,1924.0,"Crime,Drama",5.3,18
The Dawn of a Tomorrow,1924.0,"Crime,Drama",5.6,17
Grit,1924.0,"Adventure,Crime,Drama",4.5,29
Into the Net,1924.0,"Action,Crime,Drama",6.0,35
The Midnight Express,1924.0,"Action,Adventure,Crime",5.9,60
Midnight Secrets,1924.0,"Action,Adventure,Crime",1.8,27
Myrskyluodon kalastaja,1924.0,"Crime,Drama",4.9,12
The Net,1923.0,"Crime,Drama,Romance",6.9,62
Not a Drum Was Heard,1924.0,"Crime,Western",4.7,28
Orlacs Hände,1924.0,"Crime,Horror,Mystery",7.0,3639
The Silent Accuser,1924.0,"Action,Crime,Drama",5.0,18
Stepping Lively,1924.0,"Action,Adventure,Crime",6.3,18
Through the Dark,1924.0,"Crime,Drama",6.8,13
Thundering Romance,1924.0,"Action,Adventure,Crime",3.4,30
Valley of Hate,1924.0,"Crime,Drama",5.6,36
Raffles: The Amateur Cracksman,1925.0,"Adventure,Crime,Drama",5.1,66
Body and Soul,1925.0,"Crime,Drama,Thriller",6.2,1247
Bulldog Drummond's Third Round,1925.0,Crime,4.2,26
Crack o' Dawn,1925.0,"Action,Adventure,Crime",6.1,29
Durand of the Bad Lands,1925.0,"Crime,Western",6.4,26
Tariel Mklavadzis mkvlelobis saqme,1925.0,"Crime,Drama,Horror",6.1,43
Easy Money,1925.0,"Adventure,Crime,Drama",5.6,18
The Goose Woman,1925.0,"Crime,Drama,Mystery",7.0,208
Headlines,1925.0,"Adventure,Crime,Drama",4.1,26
The House Without a Key,1926.0,"Action,Adventure,Crime",5.7,48
The Last Edition,1925.0,"Action,Crime,Drama",6.3,47
A Man Must Live,1925.0,"Adventure,Crime",6.0,16
My Lady's Lips,1925.0,"Crime,Drama",5.8,27
Parisian Love,1925.0,"Crime,Drama,Romance",6.1,280
Paths to Paradise,1925.0,"Comedy,Crime,Romance",7.0,200
The Phantom Express,1925.0,"Action,Adventure,Crime",4.9,25
Seven Sinners,1925.0,"Comedy,Crime,Drama",6.0,45
The Street of Forgotten Men,1925.0,"Crime,Drama",6.2,42
The Unholy Three,1925.0,"Crime,Drama,Romance",7.1,2384
The Unwritten Law,1925.0,"Crime,Drama",6.8,20
Varieté,1925.0,"Crime,Drama,Romance",7.4,1463
Atta Boy,1926.0,"Action,Comedy,Crime",5.7,30
The Bells,1926.0,"Crime,Drama,Horror",6.4,539
Black Paradise,1926.0,"Action,Adventure,Crime",5.2,28
The Blackbird,1926.0,"Crime,Drama,Romance",6.7,947
The Blind Goddess,1926.0,"Crime,Drama,Mystery",4.0,34
Una extraña aventura de Luis Candelas,1926.0,"Adventure,Crime,Drama",7.0,15
The Hidden Way,1926.0,"Crime,Drama",6.2,26
The Little Irish Girl,1926.0,"Crime,Drama",2.6,38
The Lodge in the Wilderness,1926.0,"Action,Adventure,Crime",5.7,20
The Lodger: A Story of the London Fog,1927.0,"Crime,Drama,Mystery",7.3,14114
The Lone Wolf Returns,1926.0,"Adventure,Crime,Mystery",6.8,22
The Man in the Shadow,1926.0,Crime,6.2,13
Miss Mend,1926.0,"Adventure,Comedy,Crime",6.9,359
Mistaken Orders,1926.0,"Action,Adventure,Crime",4.0,30
Money to Burn,1926.0,"Crime,Drama,Romance",7.2,18
The Night Patrol,1926.0,"Crime,Drama",6.6,12
Obey the Law,1926.0,"Adventure,Crime,Drama",7.1,25
The Old Soak,1926.0,"Adventure,Comedy,Crime",6.3,15
Pals in Paradise,1926.0,"Action,Adventure,Crime",6.5,29
Das Panzergewölbe,1926.0,"Action,Crime",7.1,12
Perils of the Coast Guard,1926.0,"Action,Adventure,Crime",6.9,25
Racing Romance,1926.0,"Action,Adventure,Crime",5.8,22
The Rat,1925.0,Crime,7.0,80
Silence,1926.0,"Crime,Drama,Romance",6.4,44
While London Sleeps,1926.0,"Action,Adventure,Crime",3.4,35
The Wrecker,1929.0,"Crime,Drama",7.1,78
Alias the Lone Wolf,1927.0,"Action,Comedy,Crime",7.4,24
Back to Liberty,1927.0,"Adventure,Crime,Drama",1.7,19
Chicago,1927.0,"Comedy,Crime,Drama",7.3,593
The City Gone Wild,1927.0,"Crime,Drama,Romance",5.4,15
The Final Extra,1927.0,"Action,Crime,Drama",6.8,30
Finger Prints,1927.0,"Comedy,Crime",5.4,24
For the Term of His Natural Life,1927.0,"Adventure,Crime,Drama",5.9,142
Der Geisterzug,1927.0,Crime,7.0,72
The Girl from Chicago,1927.0,"Action,Crime,Drama",6.2,17
Madame besøker Oslo,1927.0,"Adventure,Crime,Drama",5.9,14
On Ze Boulevard,1927.0,"Comedy,Crime",6.0,13
Perils of the Jungle,1927.0,"Action,Adventure,Crime",7.0,23
The Return of Boston Blackie,1927.0,"Crime,Drama",5.8,64
The Scar of Shame,1929.0,"Crime,Drama,Romance",6.2,489
The Shield of Honor,1927.0,"Crime,Drama",6.1,121
The Show,1927.0,"Crime,Drama",6.9,760
The Tigress,1927.0,"Adventure,Crime,Drama",2.4,19
O Táxi 9297,1927.0,"Crime,Thriller",6.3,55
The Understanding Heart,1927.0,"Adventure,Crime,Drama",2.8,196
Underworld,1927.0,"Crime,Drama,Film-Noir",7.5,3653
The Warning,1927.0,"Action,Adventure,Crime",5.4,21
13 Washington Square,1928.0,"Comedy,Crime,Romance",6.1,80
Across to Singapore,1928.0,"Crime,Drama,Romance",6.2,1227
Beggars of Life,1928.0,"Adventure,Crime,Drama",7.4,1412
The Bellamy Trial,1929.0,"Adventure,Crime,Drama",6.0,18
Schneeschuhbanditen,1928.0,"Comedy,Crime",6.3,66
The Big City,1928.0,"Crime,Drama",6.9,97
The Big Killing,1928.0,"Action,Comedy,Crime",3.5,25
Die Büchse der Pandora,1929.0,"Crime,Drama,Romance",7.7,12340
Cafe X,1928.0,"Crime,Drama",5.8,9
The Docks of New York,1928.0,"Crime,Drama,Film-Noir",7.5,5248
The Dragnet,1928.0,"Crime,Drama",5.2,28
Dressed to Kill,1928.0,"Comedy,Crime",6.5,75
"Easy Come, Easy Go",1928.0,"Comedy,Crime,Romance",5.7,12
Feel My Pulse,1928.0,"Comedy,Crime,Romance",6.9,248
Forgotten Faces,1928.0,"Crime,Drama,Mystery",7.1,47
Gang War,1928.0,"Crime,Drama,Romance",6.6,27
The Hawk's Nest,1928.0,"Action,Crime,Drama",4.7,18
Hot Heels,1927.0,"Action,Comedy,Crime",5.8,22
Interference,1928.0,"Crime,Drama,Thriller",6.2,160
Let 'Er Go Gallegher,1927.0,"Comedy,Crime",6.4,45
Lights of New York,1928.0,"Crime,Drama,Music",5.7,998
Midnight Life,1928.0,"Crime,Drama",6.6,10
The Man from Headquarters,1928.0,"Crime,Drama,Mystery",4.7,32
"Me, Gangster",1928.0,"Action,Crime,Drama",5.9,39
The Midnight Taxi,1928.0,"Crime,Drama",5.6,37
Haus Nummer 17,1928.0,"Crime,Drama",5.9,22
The Perfect Crime,1928.0,"Crime,Drama",4.6,23
The Racket,1928.0,"Crime,Drama,Film-Noir",6.6,1701
Ransom,1928.0,"Action,Adventure,Crime",5.5,29
Road House,1928.0,"Crime,Drama",6.8,15
The Spieler,1928.0,"Crime,Drama",6.5,71
Stool Pigeon,1928.0,"Crime,Drama",6.0,11
Thérèse Raquin,1928.0,"Crime,Drama,Romance",5.7,26
While the City Sleeps,1928.0,"Action,Crime,Drama",6.5,280
Won in the Clouds,1928.0,"Action,Adventure,Crime",5.6,58
The Ace of Scotland Yard,1929.0,"Action,Crime,Drama",6.2,27
After the Fog,1930.0,"Action,Adventure,Crime",6.3,39
Alibi,1929.0,"Action,Crime,Romance",5.7,1009
Asphalt,1929.0,"Crime,Drama,Romance",7.4,1749
Behind Closed Doors,1929.0,"Adventure,Crime,Drama",5.1,21
Behind That Curtain,1929.0,"Adventure,Crime,Mystery",4.8,579
Below the Deadline,1929.0,"Crime,Drama,Mystery",5.3,42
Big News,1929.0,"Comedy,Crime,Mystery",5.4,334
Blackmail,1929.0,"Crime,Drama,Mystery",6.9,12729
Broadway,1929.0,"Crime,Music,Romance",6.2,476
Bulldog Drummond,1929.0,"Crime,Drama,Mystery",6.3,1384
The Canary Murder Case,1929.0,"Crime,Drama,Mystery",5.9,988
Chinatown Nights,1929.0,"Action,Crime,Drama",5.5,161
The Clue of the New Pin,1929.0,"Crime,Mystery",5.6,20
Dark Streets,1929.0,"Action,Adventure,Crime",5.4,40
The Drake Case,1929.0,"Crime,Drama,Mystery",6.2,30
Evidence,1929.0,"Crime,Drama,Romance",6.8,34
The Faker,1929.0,"Crime,Drama,Romance",5.8,17
Fancy Baggage,1929.0,"Comedy,Crime,Drama",6.0,18
Fast Life,1929.0,"Crime,Drama,Romance",5.9,55
The Flying Scotsman,1929.0,"Crime,Drama",6.2,247
The Gamblers,1929.0,"Crime,Drama,Mystery",4.9,69
The Ghost Talks,1929.0,"Comedy,Crime",5.0,25
The Greene Murder Case,1929.0,"Crime,Mystery",6.3,575
Hardboiled Rose,1929.0,"Crime,Drama,Romance",6.1,25
Her Private Affair,1929.0,"Crime,Drama,Romance",5.1,172
His Captive Woman,1929.0,"Adventure,Crime,Drama",6.5,27
Seven Footprints to Satan,1929.0,"Comedy,Crime,Drama",6.6,519
Der Hund von Baskerville,1929.0,"Crime,Horror,Mystery",6.4,343
The Lone Wolf's Daughter,1929.0,"Crime,Mystery",8.0,17
The Love Racket,1929.0,"Crime,Drama",6.4,18
The Mysterious Dr. Fu Manchu,1929.0,"Crime,Romance,Thriller",6.0,423
New York Nights,1929.0,"Crime,Drama,Music",5.5,293
Painted Faces,1929.0,"Crime,Mystery,Romance",6.1,97
The Phantom in the House,1929.0,"Crime,Drama,Mystery",5.0,165
Piccadilly,1929.0,"Crime,Drama",7.1,1930
Prisoners,1929.0,"Crime,Drama,Romance",6.9,38
The Racketeer,1929.0,"Crime,Drama,Thriller",5.3,471
Red Aces,1930.0,Crime,7.4,10
Red Hot Rhythm,1929.0,"Comedy,Crime,Drama",5.2,23
The Return of the Rat,1929.0,"Crime,Romance",6.9,39
The Runaway Princess,1929.0,"Crime,Drama",6.6,31
Side Street,1929.0,"Action,Crime,Drama",5.5,138
Speakeasy,1929.0,"Crime,Drama,Romance",4.9,85
The Studio Murder Mystery,1929.0,"Adventure,Crime,Mystery",5.4,220
Thunderbolt,1929.0,"Crime,Drama,Film-Noir",6.5,951
Two Sisters,1929.0,"Action,Adventure,Crime",6.4,33
Untamed Justice,1929.0,"Action,Adventure,Crime",5.9,24
The Voice of the City,1929.0,"Crime,Drama,Romance",6.1,109
Woman Trap,1929.0,"Action,Crime,Drama",5.5,99
Alias French Gertie,1930.0,Crime,5.8,203
Der Andere,1930.0,"Crime,Drama,Horror",5.1,48
The Bat Whispers,1930.0,"Crime,Drama,Horror",6.3,1309
The Benson Murder Case,1930.0,"Crime,Mystery,Thriller",6.0,573
The Big House,1930.0,"Crime,Drama,Thriller",7.1,2746
The Bishop Murder Case,1929.0,"Crime,Drama,Mystery",6.0,880
Born Reckless,1930.0,"Crime,Drama,War",5.4,590
Bright Lights,1930.0,"Comedy,Crime,Drama",5.6,391
Brothers,1930.0,"Crime,Drama,Romance",6.6,20
Burning Up,1930.0,"Action,Crime,Drama",5.9,45
Captain Applejack,1930.0,"Comedy,Crime,Drama",5.5,176
The Cheaters,1930.0,"Crime,Drama,Romance",6.7,89
Children of Chance,1930.0,"Crime,Drama",7.0,39
Conspiracy,1930.0,"Comedy,Crime,Mystery",5.1,194
Contre-enquête,1930.0,"Crime,Drama",6.3,13
Der Greifer,1930.0,"Crime,Drama",5.8,68
The Costello Case,1930.0,"Crime,Drama",6.1,40
A Cottage on Dartmoor,1930.0,"Crime,Drama",7.5,1280
Czar of Broadway,1930.0,"Crime,Drama",6.8,27
Dangerous Paradise,1930.0,"Crime,Drama,Music",5.5,161
The Doorway to Hell,1930.0,"Crime,Drama",6.5,1412
East Is West,1930.0,"Adventure,Crime,Drama",5.9,82
Escape!,1930.0,"Crime,Drama",5.7,120
The Fall Guy,1930.0,"Comedy,Crime,Drama",5.2,210
The Menace,1932.0,"Crime,Drama,Mystery",6.3,637
For the Defense,1930.0,"Crime,Drama,Romance",6.4,699
Framed,1930.0,"Action,Crime,Drama",6.0,368
The Furies,1930.0,"Crime,Drama,Mystery",5.8,19
Das gestohlene Gesicht,1930.0,"Crime,Drama",6.0,12
Good Intentions,1930.0,"Action,Crime,Drama",5.8,21
Hans in allen Gassen,1930.0,"Crime,Drama",7.5,19
Her Man,1930.0,"Crime,Drama,Romance",6.5,538
Hogaraka ni ayume,1930.0,"Crime,Drama,Romance",6.4,788
Hokuspokus,1930.0,"Comedy,Crime",7.7,51
The Jade Box,1930.0,"Action,Adventure,Crime",5.8,33
Ladies Love Brutes,1930.0,"Comedy,Crime,Drama",5.7,145
The Last Hour,1930.0,"Comedy,Crime,Sci-Fi",4.0,22
The Last of the Lone Wolf,1930.0,"Crime,Drama,Mystery",7.4,26
Little Caesar,1931.0,"Action,Crime,Drama",7.2,14987
The Pay-Off,1930.0,"Action,Crime,Drama",5.5,326
Man Trouble,1930.0,"Crime,Drama,Music",5.7,38
Man to Man,1930.0,"Crime,Drama,Romance",6.0,214
Midnight Mystery,1930.0,"Crime,Horror,Mystery",6.3,146
Murder!,1930.0,"Crime,Drama,Mystery",6.3,7365
Le mystère de la chambre jaune,1930.0,"Crime,Mystery",6.3,147
The Night Ride,1930.0,"Crime,Drama",6.5,49
Numbered Men,1930.0,"Crime,Drama",4.6,202
Officer O'Brien,1930.0,"Comedy,Crime,Drama",5.1,71
One Night at Susie's,1930.0,"Crime,Drama,Romance",5.7,196
Only Saps Work,1930.0,"Comedy,Crime,Mystery",5.5,50
Outside the Law,1930.0,"Crime,Drama,Romance",5.5,236
Paid,1930.0,"Crime,Drama,Romance",6.3,920
Le parfum de la dame en noir,1931.0,"Crime,Drama",6.1,119
Party Girl,1930.0,"Crime,Drama,Romance",5.0,341
Prince of Diamonds,1930.0,"Adventure,Crime,Romance",6.3,28
Raffles,1930.0,"Adventure,Crime,Drama",6.4,1157
Remote Control,1930.0,"Adventure,Comedy,Crime",5.5,659
The Return of Dr. Fu Manchu,1930.0,"Adventure,Crime,Mystery",5.8,331
Roadhouse Nights,1930.0,"Crime,Drama,Musical",5.5,142
The Runaway Bride,1930.0,"Crime,Drama,Romance",4.9,301
Scarlet Pages,1930.0,"Action,Crime,Drama",5.6,191
Scotland Yard,1930.0,"Crime,Drama,Romance",5.3,95
See America Thirst,1930.0,"Action,Comedy,Crime",6.7,25
Shadow of the Law,1930.0,"Crime,Drama,Mystery",6.3,198
The Ship from Shanghai,1930.0,"Action,Crime,Drama",5.1,153
Shooting Straight,1930.0,"Crime,Drama",6.0,150
Sinners' Holiday,1930.0,"Adventure,Crime,Romance",6.3,725
Slightly Scarlet,1930.0,"Comedy,Crime,Drama",5.2,60
Sono yo no tsuma,1930.0,"Crime,Drama",6.9,1030
The Squeaker,1930.0,"Crime,Drama,Mystery",5.7,45
The Squealer,1930.0,"Action,Crime,Drama",6.4,20
Street of Chance,1930.0,"Crime,Drama,Romance",6.4,438
Sweet Mama,1930.0,"Comedy,Crime,Drama",7.4,97
Temple Tower,1930.0,"Crime,Drama",6.2,30
Those Who Dance,1930.0,"Action,Crime,Drama",6.5,60
Trailing Trouble,1930.0,"Crime,Western",6.1,26
The Unholy Three,1930.0,"Crime,Drama,Romance",6.7,1470
Up the River,1930.0,"Comedy,Crime,Drama",5.9,1424
Der Weg nach Rio,1931.0,"Crime,Drama",7.2,23
The Widow from Chicago,1930.0,"Crime,Drama,Romance",6.4,507
Wild Company,1930.0,"Crime,Drama",5.3,94
The Woman Racket,1930.0,"Crime,Drama,Romance",5.7,184
77 Park Lane,1931.0,"Crime,Drama,Thriller",5.0,21
Air Eagles,1931.0,"Action,Adventure,Crime",4.9,82
Air Police,1931.0,"Action,Adventure,Crime",3.9,40
Les amours de minuit,1931.0,"Crime,Drama,Romance",6.6,74
An American Tragedy,1931.0,"Crime,Drama,Romance",6.4,1005
Bad Company,1931.0,"Crime,Drama",6.2,156
The Bells,1931.0,"Crime,Drama,Horror",5.9,33
Berlin-Alexanderplatz - Die Geschichte Franz Biberkopfs,1931.0,"Crime,Drama",6.6,813
The Big Gamble,1931.0,"Crime,Drama,Romance",5.8,219
The Black Camel,1931.0,"Crime,Mystery,Thriller",6.6,1716
Blonde Crazy,1931.0,"Comedy,Crime,Drama",7.1,2405
La chienne,1931.0,"Crime,Drama,Romance",7.5,5065
Chinatown After Dark,1931.0,"Crime,Drama",4.1,184
City Streets,1931.0,"Crime,Drama,Film-Noir",7.0,1981
Coeur de lilas,1932.0,"Crime,Drama",6.6,227
Convicted,1931.0,"Crime,Mystery,Romance",4.9,95
Corsair,1931.0,"Adventure,Crime,Romance",5.6,314
The Criminal Code,1931.0,"Crime,Drama,Romance",6.9,1507
"Dance, Fools, Dance",1931.0,"Crime,Drama,Romance",6.3,1339
Daughter of the Dragon,1931.0,"Crime,Drama",5.7,887
