Title,Year,Genres,Rating,Votes
Rocket Ship,1938,"Family,Sci-Fi",6.6,642
General Spanky,1936,"Comedy,Family,War",5.9,446
The Golden Arrow,1936,"Comedy,Family,Romance",6.1,1178
Jonge harten,1936,Family,5.4,34
Let's Sing Again,1936,"Drama,Family,Musical",5.7,93
Little Lord Fauntleroy,1936,"Drama,Family",7.3,2649
The Milky Way,1936,"Comedy,Family,Sport",6.5,1889
One in a Million,1936,"Comedy,Family,Music",5.9,349
Our Relations,1936,"Comedy,Family",7.3,3608
Panserbasse,1936,"Comedy,Crime,Family",6.1,94
Poor Little Rich Girl,1936,"Adventure,Comedy,Family",7.0,1634
Il re di denari,1936,"Comedy,Family",5.8,19
Stowaway,1936,"Adventure,Family,Musical",7.1,1530
Tarzan Escapes,1936,"Action,Adventure,Family",6.5,3686
Undersea Kingdom,1936,"Adventure,Family,Sci-Fi",4.6,662
The Voice of Bugle Ann,1936,"Drama,Family",6.7,279
Captains Courageous,1937,"Adventure,Drama,Family",7.9,11364
Clarence,1937,"Comedy,Family,Romance",5.8,20
A Day at the Races,1937,"Comedy,Family,Musical",7.5,14897
Der var engang en Vicevært,1937,"Comedy,Drama,Family",5.5,32
Elephant Boy,1937,"Adventure,Drama,Family",6.4,888
A Family Affair,1937,"Comedy,Drama,Family",6.6,827
Flådens blå matroser,1937,"Comedy,Family,Musical",5.2,40
En fuldendt gentleman,1937,"Comedy,Family,Musical",5.2,18
Heidi,1937,"Drama,Family,Musical",7.2,5142
King Solomon's Mines,1937,"Action,Adventure,Family",6.3,1536
Den kloge Mand,1937,"Drama,Family",5.2,17
The Man Who Could Work Miracles,1936,"Comedy,Family,Fantasy",6.9,1656
"Mille, Marie og mig",1937,"Comedy,Family,Romance",6.4,78
Los muchachos de antes no usaban gomina,1937,"Comedy,Drama,Family",7.4,76
Plat eller krone,1937,"Comedy,Family,Musical",5.6,26
Prem Kahani,1937,"Drama,Family,Romance",6.6,19
The Prince and the Pauper,1937,"Adventure,Drama,Family",7.2,3016
Red Lights Ahead,1936,"Comedy,Family",5.6,89
Snow White and the Seven Dwarfs,1937,"Adventure,Animation,Family",7.6,222658
Song of the Road,1937,"Drama,Family",6.5,51
Way Out West,1937,"Comedy,Family,Western",7.6,9256
Wee Willie Winkie,1937,"Adventure,Family",6.9,2004
Zorro Rides Again,1937,"Action,Family,Western",6.3,350
The Adventures of Tom Sawyer,1938,"Adventure,Drama,Family",7.0,2339
Bhabi,1938,"Drama,Family",7.1,11
Block-Heads,1938,"Comedy,Family,War",7.5,4700
Blondie,1938,"Comedy,Family",6.9,893
Boys Town,1938,"Biography,Drama,Family",7.2,6592
A Christmas Carol,1938,"Drama,Family,Fantasy",7.5,9364
Flash Gordon's Trip to Mars,1938,"Action,Adventure,Family",6.9,1094
Judge Hardy's Children,1938,"Comedy,Family,Romance",6.6,510
Just Around the Corner,1938,"Comedy,Drama,Family",6.4,713
"Listen, Darling",1938,"Comedy,Drama,Family",6.5,895
Little Miss Broadway,1938,"Drama,Family,Musical",6.5,977
Nancy Drew... Detective,1938,"Comedy,Crime,Family",6.6,1227
Out West with the Hardys,1938,"Adventure,Comedy,Family",6.5,485
Owd Bob,1938,"Comedy,Drama,Family",6.3,131
Po shchuchemu veleniyu,1938,"Family,Fantasy",6.8,256
Rebecca of Sunnybrook Farm,1938,"Comedy,Drama,Family",7.0,1986
Scruffy,1938,"Drama,Family",6.8,15
Tarzan and the Green Goddess,1938,"Action,Adventure,Family",4.4,579
Tarzan's Revenge,1938,"Adventure,Family",4.7,736
The Terror of Tiny Town,1938,"Family,Western",3.9,1984
You're Only Young Once,1937,"Comedy,Family,Romance",6.6,583
Adolf i eld och lågor,1939,"Comedy,Family",4.0,50
The Adventures of Huckleberry Finn,1939,"Adventure,Drama,Family",6.8,1479
Andy Hardy Gets Spring Fever,1939,"Comedy,Family,Romance",6.5,737
Blondie Brings Up Baby,1939,"Comedy,Family",6.7,425
Blondie Meets the Boss,1939,"Comedy,Family,Music",6.7,423
Blondie Takes a Vacation,1939,"Adventure,Comedy,Family",6.8,432
Boy Trouble,1939,"Comedy,Drama,Family",6.8,77
"Charlie McCarthy, Detective",1939,"Comedy,Crime,Family",6.4,103
Doktor Aybolit,1938,Family,5.9,50
East Side of Heaven,1939,"Comedy,Family,Music",6.6,320
Familjen Björck,1940,"Comedy,Family",5.3,80
Five Little Peppers and How They Grew,1939,"Comedy,Drama,Family",6.6,267
The Flying Deuces,1939,"Comedy,Family,War",6.7,5953
The Green Hornet,1940,"Adventure,Crime,Family",6.5,747
The Hardys Ride High,1939,"Comedy,Family",6.6,501
Judge Hardy and Son,1939,"Comedy,Family",6.7,543
Kalle på Spången,1939,"Comedy,Family,Musical",5.6,232
The Little Princess,1939,"Comedy,Drama,Family",7.1,6952
Nancy Drew and the Hidden Staircase,1939,"Comedy,Crime,Family",6.6,1006
Nancy Drew... Reporter,1939,"Comedy,Crime,Family",6.5,1511
On Borrowed Time,1939,"Drama,Family,Fantasy",7.7,2333
The Phantom Creeps,1939,"Action,Family,Horror",4.7,1154
Tarzan Finds a Son!,1939,"Action,Adventure,Family",6.5,3694
They Shall Have Music,1939,"Drama,Family,Music",7.0,523
Two Thoroughbreds,1939,"Crime,Drama,Family",5.6,73
The Wizard of Oz,1939,"Adventure,Family,Fantasy",8.1,446879
You Can't Cheat an Honest Man,1939,"Comedy,Family",6.9,1916
Zolotoy klyuchik,1939,"Animation,Family,Fantasy",6.5,266
Andy Hardy Meets Debutante,1940,"Comedy,Family,Romance",6.6,1050
Barnet,1940,"Drama,Family",5.7,23
The Biscuit Eater,1940,"Drama,Family",7.2,249
Blondie Has Servant Trouble,1940,"Comedy,Family",6.6,339
Blondie Plays Cupid,1940,"Adventure,Comedy,Family",6.5,411
Blondie on a Budget,1940,"Comedy,Family",6.5,569
The Blue Bird,1940,"Adventure,Family,Fantasy",6.2,2080
Brat geroya,1940,Family,5.5,20
Buck Rogers,1939,"Adventure,Family,Sci-Fi",6.8,1044
A Chump at Oxford,1940,"Comedy,Family",7.2,4502
Fantasia,1940,"Animation,Family,Fantasy",7.7,107194
Flash Gordon Conquers the Universe,1940,"Action,Adventure,Family",6.6,1560
Hi-Yo Silver,1940,"Drama,Family,Western",6.8,92
Knute Rockne All American,1940,"Biography,Drama,Family",6.7,2217
Seven Little Australians,1939,"Adventure,Drama,Family",5.8,13
Little Nellie Kelly,1940,"Comedy,Family,Musical",6.4,737
The Mark of Zorro,1940,"Action,Adventure,Family",7.5,11426
The Old Swimmin' Hole,1940,"Comedy,Drama,Family",5.4,66
Our Town,1940,"Drama,Family,Romance",6.5,3155
Pas paa svinget i Solby!,1940,"Comedy,Family,Romance",6.5,73
Swiss Family Robinson,1940,"Adventure,Family",6.3,870
Tante Pose,1940,"Comedy,Family",6.6,449
The Thief of Bagdad,1940,"Adventure,Family,Fantasy",7.4,15129
Tottisalmen perillinen,1940,"Drama,Family",4.4,64
Young Tom Edison,1940,"Biography,Drama,Family",6.8,1325
Adventures of Captain Marvel,1941,"Action,Adventure,Family",7.1,1592
The Big Store,1941,"Comedy,Family,Musical",6.5,5592
Blondie Goes Latin,1941,"Comedy,Family,Music",6.5,342
Double Date,1941,"Comedy,Family",5.7,42
Den forsvundne pølsemaker,1941,"Comedy,Family,Mystery",6.2,339
Gaa med mig hjem,1941,"Drama,Family",6.4,16
Henry Aldrich for President,1941,"Comedy,Family",6.6,156
Mr. Bug Goes to Town,1941,"Animation,Comedy,Family",6.9,1488
How Green Was My Valley,1941,"Drama,Family",7.7,27620
Jungle Girl,1941,"Adventure,Family",6.7,252
Life with Henry,1940,"Comedy,Family,Romance",6.0,56
The Reluctant Dragon,1941,"Animation,Comedy,Family",6.7,4016
