Title,Year,Genres,Rating,Votes
A Sister of Six,1916.0,"Adventure,Drama,Western",5.2,29
The Three Musketeers,1916.0,Adventure,6.2,46
To Have and to Hold,1916.0,"Adventure,Drama",6.2,27
"Ultus, the Man from the Dead",1915.0,"Adventure,Fantasy",5.3,17
Under Two Flags,1916.0,"Adventure,Drama",6.3,27
Aladdin from Broadway,1917.0,Adventure,6.8,20
The Barrier,1917.0,Adventure,5.5,23
The Flame of Youth,1917.0,"Adventure,Drama",6.5,22
The Great Secret,1917.0,"Action,Adventure",5.7,27
The Hidden Spring,1917.0,"Adventure,Romance",6.4,22
Himmelskibet,1918.0,"Adventure,Fantasy,Sci-Fi",6.4,865
Joan the Woman,1916.0,"Adventure,Drama,History",6.4,681
Kidnapped,1917.0,"Adventure,Drama",6.8,61
The Law of the North,1917.0,"Adventure,Drama",6.0,16
Leoni Leo,1917.0,Adventure,8.1,29
The Little Pirate,1917.0,"Adventure,Family",4.3,26
Man and Beast,1917.0,Adventure,5.0,16
A Man's Man,1917.0,"Adventure,Romance",6.1,26
A Modern Musketeer,1917.0,"Adventure,Comedy,Western",6.6,360
The Mystery Ship,1917.0,"Action,Adventure",5.5,26
Mystery of the Double Cross,1917.0,"Action,Adventure",6.5,43
Nan of Music Mountain,1917.0,"Action,Adventure,Drama",4.6,28
La nouvelle mission de Judex,1917.0,Adventure,7.1,34
One Hour,1917.0,"Adventure,Romance",1.8,24
Paddy O'Hara,1917.0,"Adventure,War",5.0,19
"Raffles, the Amateur Cracksman",1917.0,"Adventure,Crime,Romance",6.4,197
The Railroad Raiders,1917.0,"Action,Adventure",5.5,27
Reaching for the Moon,1917.0,"Adventure,Comedy",6.2,132
The Red Ace,1917.0,"Action,Adventure",2.6,25
A Romance of the Redwoods,1917.0,"Adventure,Comedy,Drama",6.1,881
The Scarlet Pimpernel,1917.0,Adventure,7.1,32
The Sea Master,1917.0,"Adventure,Drama",6.1,16
The Seven Pearls,1917.0,"Action,Adventure",4.3,23
The Submarine Eye,1917.0,Adventure,3.3,19
Tom Sawyer,1917.0,"Adventure,Comedy,Drama",6.1,201
Az utolsó hajnal,1917.0,"Adventure,Drama,Romance",5.6,57
Vengeance - and the Woman,1917.0,"Action,Adventure,Crime",6.5,45
The Voice on the Wire,1917.0,"Action,Adventure,Crime",7.6,28
The Wolf and His Mate,1918.0,"Action,Adventure,Drama",6.3,19
The Adventure Shop,1919.0,"Adventure,Comedy,Crime",2.4,25
El aventurero misterioso,1918.0,Adventure,5.5,13
The Brass Bullet,1918.0,"Action,Adventure",6.4,26
Capitan Fracassa,1919.0,Adventure,1.6,15
Carmen of the Klondike,1918.0,"Adventure,Drama,Romance",5.4,20
Nye dlya deneg radivshisya,1918.0,Adventure,7.6,16
The Great Romance,1919.0,"Adventure,Romance",2.6,24
He Comes Up Smiling,1918.0,"Adventure,Comedy,Romance",6.1,67
His Royal Highness,1918.0,Adventure,5.9,20
The Iron Test,1918.0,"Action,Adventure",5.7,26
The Kid Is Clever,1918.0,"Adventure,Comedy",6.0,18
The Landloper,1918.0,"Adventure,Romance",6.9,21
Laughing Bill Hyde,1918.0,"Adventure,Comedy",5.7,22
The Lion's Claws,1918.0,"Action,Adventure",5.5,26
The Lure of the Circus,1918.0,"Action,Adventure,Romance",5.5,41
The Naulahka,1918.0,Adventure,6.4,17
Queen of the Sea,1918.0,"Adventure,Fantasy,Romance",6.7,24
El rey de la serranía,1918.0,Adventure,7.0,10
The Romance of Tarzan,1918.0,"Action,Adventure",6.4,62
A Romance of the Air,1918.0,"Adventure,Romance",6.4,20
The Savage Woman,1918.0,Adventure,2.7,27
The Sea Flower,1918.0,"Adventure,War",4.3,19
The Sea Panther,1918.0,Adventure,4.6,19
Shark Monroe,1918.0,"Adventure,Drama,Romance",5.9,23
Six-Shooter Andy,1918.0,"Action,Adventure,Romance",5.8,14
Such a Little Pirate,1918.0,Adventure,6.6,20
Tarzan of the Apes,1918.0,"Action,Adventure",5.7,971
Tih Minh,1918.0,"Adventure,Mystery",7.1,508
Treasure Island,1917.0,"Adventure,Drama",6.9,32
The Treasure of the Sea,1918.0,"Adventure,Drama",8.1,14
Wolves of Kultur,1918.0,"Action,Adventure",5.9,44
The Woman in the Web,1918.0,"Action,Adventure,Drama",5.5,25
An Adventure in Hearts,1919.0,"Adventure,Drama",2.4,23
L'atleta fantasma,1919.0,Adventure,4.8,27
Back to God's Country,1919.0,"Adventure,Romance,Western",6.2,992
The Best Man,1919.0,"Adventure,Comedy",5.3,19
The Black Secret,1919.0,"Action,Adventure",5.8,31
The Brand,1919.0,Adventure,7.0,22
The Brute Breaker,1919.0,"Action,Adventure,Drama",6.5,23
The Carter Case,1919.0,"Action,Adventure,Crime",6.1,23
Checkers,1919.0,"Adventure,Comedy,Drama",5.4,18
The Crimson Gardenia,1919.0,"Adventure,Drama",6.7,20
The Dark Star,1919.0,Adventure,7.9,51
The Fatal Fortune,1919.0,"Action,Adventure",5.3,22
Girl from Nowhere,1919.0,"Action,Adventure,Drama",5.8,28
The Great Radium Mystery,1919.0,"Action,Adventure",6.8,28
The Grim Game,1919.0,"Adventure,Drama",6.7,324
Hawthorne of the U.S.A.,1919.0,"Adventure,Comedy,Romance",5.3,407
Die Herrin der Welt 1. Teil - Die Freundin des gelben Mannes,1919.0,"Adventure,Drama",5.7,29
"His Majesty, the American",1919.0,"Adventure,Comedy,Romance",6.1,118
Historien om en gut,1919.0,"Adventure,Crime,Drama",6.6,53
Im Dienste der Liebe,1919.0,"Adventure,Drama",5.2,14
Jinx,1919.0,"Action,Adventure,Comedy",5.7,36
The Jungle Trail,1919.0,Adventure,1.7,24
The Life Line,1919.0,"Adventure,Crime,Drama",5.5,25
Lightning Bryce,1919.0,"Adventure,Horror,Romance",5.6,77
The Lightning Raider,1919.0,"Action,Adventure,Crime",6.2,51
The Lion Man,1919.0,"Action,Adventure",7.0,18
Luck and Pluck,1919.0,"Adventure,Crime,Drama",6.4,21
The Lurking Peril,1919.0,"Action,Adventure,Drama",3.4,27
Male and Female,1919.0,"Adventure,Drama",7.0,2018
The Man Hunter,1919.0,"Action,Adventure,Drama",6.8,26
The Man Who Turned White,1919.0,"Adventure,Drama",5.8,21
Man of Might,1919.0,"Action,Adventure",5.1,26
A Man's Fight,1919.0,"Adventure,Drama,Romance",1.9,27
The Master Mystery,1918.0,"Action,Adventure,Mystery",6.0,167
Miss Adventure,1919.0,Adventure,4.7,17
The Money Corral,1919.0,"Action,Adventure,Crime",5.9,31
More Deadly Than the Male,1919.0,"Adventure,Comedy,Drama",7.3,22
Never Say Quit,1919.0,"Action,Adventure,Comedy",6.0,15
The Oakdale Affair,1919.0,Adventure,6.0,18
Perils of Thunder Mountain,1919.0,"Action,Adventure",5.1,22
Die Reise um die Erde in 80 Tagen,1919.0,"Adventure,Drama,Romance",6.6,18
Sahara,1919.0,Adventure,4.4,20
Scarlet Days,1919.0,"Adventure,Romance,Western",5.3,486
Soldiers of Fortune,1919.0,"Adventure,Drama",6.2,22
Something to Do,1919.0,"Adventure,Drama",7.0,17
"Die Spinnen, 1. Teil - Der Goldene See",1919.0,"Adventure,Western",6.5,1527
The Tiger's Trail,1919.0,"Action,Adventure,Drama",3.1,26
Wagon Tracks,1919.0,"Adventure,Mystery,Western",6.6,252
A Wild Goose Chase,1919.0,Adventure,6.3,19
Wings of the Morning,1919.0,"Adventure,Drama,Romance",2.6,24
The Adventurer,1920.0,"Adventure,Drama,History",2.4,25
The Adventures of Bill and Bob,1920.0,Adventure,5.2,25
The Amateur Gentleman,1920.0,Adventure,4.6,15
An Arabian Knight,1920.0,"Action,Adventure,Fantasy",5.3,35
L'Atlantide,1921.0,"Adventure,Fantasy,Mystery",6.6,442
The Call of the Road,1920.0,Adventure,6.9,20
The Cradle of Courage,1920.0,"Adventure,Drama,War",5.9,98
Cynthia of the Minute,1920.0,Adventure,6.4,17
Daredevil Jack,1920.0,"Action,Adventure,Mystery",6.6,44
Dead Men Tell No Tales,1920.0,Adventure,6.6,20
Dinty,1920.0,"Adventure,Comedy,Drama",6.8,122
